batsman,batsman_runs
RE van der Merwe,8
RG Sharma,303
RJ Harris,3
RJ Peterson,1
RJ Quiney,3
RK Singh,56
RM Patidar,68
RN ten Doeschate,15
RP Singh,1
RR Pant,170
RR Powar,1
RR Raje,1
RR Rossouw,25
RR Sarwan,1
RS Bopara,16
RT Ponting,2
RV Gomez,1
RV Patel,2
RV Uthappa,182
Rahmanullah Gurbaz,22
Ramandeep Singh,17
Rashid Khan,41
Ravi Bishnoi,2
S Anirudha,7
S Badrinath,28
S Dhawan,153
S Dube,122
S Gopal,2
S Rana,1
S Sohal,18
S Vidyut,3
SA Abbott,2
SA Asnodkar,10
SA Yadav,168
SB Bangar,3
SB Dubey,10
SB Styris,3
SC Ganguly,42
SD Chitnis,2
SD Hope,12
SD Lad,1
SE Marsh,78
SE Rutherford,26
SK Raina,204
SK Rasheed,2
SK Trivedi,1
SK Warne,6
SL Malinga,5
SM Curran,41
SM Katich,8
SM Pollock,8
SN Khan,14
SN Thakur,13
SO Hetmyer,93
SP Fleming,3
SP Goswami,3
SP Jackson,1
SP Narine,116
SPD Smith,60
SR Tendulkar,29
SR Watson,190
SS Iyer,152
SS Prabhudessai,4
SS Tiwary,50
ST Jayasuriya,39
STR Binny,35
SV Samson,219
SW Billings,20
SW Tait,1
Sachin Baby,5
Salman Butt,2
Sameer Rizvi,9
Sanvir Singh,1
Saurav Chauhan,1
Sediqullah Atal,2
Shahbaz Ahmed,25
Shahid Afridi,6
Shakib Al Hasan,21
Shashank Singh,43
Shivam Mavi,2
Shubman Gill,119
Sikandar Raza,8
Sohail Tanvir,1
Sumit Kumar,1
Sunny Singh,1
Swapnil Singh,3
T Banton,1
T Henderson,1
T Kohler-Cadmore,1
T Kohli,1
T Stubbs,38
TA Boult,3
TG Southee,4
TH David,60
TK Curran,3
TL Suman,26
TM Dilshan,24
TM Head,55
TR Birt,2
TS Mills,1
TU Deshpande,1
Tilak Varma,74
UBT Chand,9
UT Khawaja,3
UT Yadav,9
Umar Gul,5
Umran Malik,2
Urvil Patel,6
V Kohli,292
V Nigam,8
V Sehwag,106
V Shankar,48
V Suryavanshi,24
VH Zol,1
VR Aaron,2
VR Iyer,65
VVS Laxman,5
Vijaykumar Vyshak,1
Vishnu Vinod,3
Vivrant Sharma,2
W Jaffer,3
WD Parnell,1
WG Jacks,29
WP Saha,87
WPUJC Vaas,3
Washington Sundar,16
Y Nagar,9
Y Venugopal Rao,37
YBK Jaiswal,92
YK Pathan,161
YV Takawale,3
Yudhvir Singh,2
Yuvraj Singh,149
Z Khan,2
